# بيانات الدروع - Armors Seed Data
# Format: name|description|defense|price|currency|type|rarity|imageUrl

# الدروع الأساسية (مال عادي) - Basic Armors (Money)
قميص قديم وغبار|قميص قديم وغبار يوفر حماية بسيطة|5|2000|money|clothing|common|/public/armors/old-dusty-underware-top-shirt.png
سترة درع جلدية|سترة درع جلدية متينة توفر حماية متوسطة|15|8000|money|leather|uncommon|/public/armors/lether-armor-vest.png
درع معدني|درع معدني قوي يوفر حماية جيدة|25|15000|money|metal|uncommon|/public/armors/metal-armor.png
سترة SWAT|سترة تكتيكية للقوات الخاصة|30|25000|money|tactical|rare|/public/armors/swat-vest.png
بدلة محسنة|بدلة محسنة مع تقنيات متقدمة|35|45000|money|enhanced|rare|/public/armors/enhanced-toxido.png

# الدروع المتطورة (عملة سوداء) - Advanced Armors (Blackcoin)
بدلة تمويه|بدلة تمويه متطورة للاختفاء|40|65000|blackcoin|camouflage|epic|/public/armors/camoflash-suit.png
درع نانو تكنولوجي|درع متطور مصنوع من تقنية النانو|45|75000|blackcoin|nano|epic|/public/armors/nano-tech-armor.png
بدلة سيبرانية|بدلة سيبرانية متطورة مع تقنيات متقدمة|50|85000|blackcoin|cyber|epic|/public/armors/cyber-suit.png
درع تنين|درع مصنوع من قشور التنين الأسطوري|60|120000|blackcoin|dragon|legend|/public/armors/dragon-armor.png
بدلة شبح أسطورية|بدلة شبح أسطورية مع قدرات خارقة|75|150000|blackcoin|legendary_ghost|legend|/public/armors/legendary-ghost-suit.png

# Armor Stats Explanation:
# - defense: Defense bonus provided by the armor
# - price: Cost in money or blackcoins
# - currency: money or blackcoin
# - type: armor category (clothing, leather, metal, etc.)
# - rarity: common, uncommon, rare, epic, legend
# - imageUrl: Path to armor image in public folder

# Rarity Distribution:
# Common: 1 armor (basic clothing)
# Uncommon: 2 armors (leather and metal)
# Rare: 2 armors (tactical and enhanced)
# Epic: 3 armors (camouflage, nano, cyber)
# Legendary: 2 armors (dragon and ghost)

# Currency Distribution:
# Money armors: 5 armors (common to rare)
# Blackcoin armors: 5 armors (epic to legendary) 
