# Cars Data for BloodContract Game
# Format: name|description|cost|attackBonus|defenseBonus|rarity|currency|imageUrl

# Common Cars (Basic vehicles)
سوزوكي سويفت|سيارة اقتصادية صغيرة، مثالية للتنقل اليومي في المدينة. سريعة وموفرة للوقود.|5000|0|5|common|money|/public/cars/suzuki-swift.png
هوندا سيفيك|سيارة عائلية موثوقة، توازن مثالي بين الأداء والاقتصادية.|8000|0|8|common|money|/public/cars/honda-civic.png
سيارة الشرطة|سيارة رسمية للشرطة، مجهزة بأحدث التقنيات الأمنية.|12000|5|15|uncommon|money|/public/cars/police-car.png

# Uncommon Cars (Mid-tier vehicles)
سيارة أمريكية كلاسيكية|سيارة أمريكية كلاسيكية بقوة محرك هائلة ومظهر أنيق.|15000|8|10|uncommon|money|/public/cars/american-muscle-car-classic.png
سيارة فانتوم تاكسي|سيارة تاكسي كلاسيكية، مثالية للتنقل في المدينة.|18000|3|12|uncommon|money|/public/cars/phantom-taxi-classic-car.png
سيارة ديزرت روفر|سيارة دفع رباعي قوية، مصممة للطرق الوعرة والصحاري.|22000|5|15|uncommon|money|/public/cars/desert-rover-4x4.png
سيارة رايدر 4x4|سيارة رياضية للطرق الوعرة، تجمع بين القوة والأناقة.|25000|7|13|uncommon|money|/public/cars/raider-4x4.png

# Rare Cars (High-performance vehicles)
سيارة بانتشر جي تي آر|سيارة رياضية عالية الأداء، مصممة للسرعة والتحكم المثالي.|35000|12|8|rare|money|/public/cars/panther-gtr.png
سيارة سيربنت الرياضية|سيارة رياضية أنيقة، تجمع بين السرعة والأناقة في تصميم واحد.|40000|15|6|rare|money|/public/cars/serpent-sports-car.png
سيارة إنفيرنو الرياضية|سيارة رياضية حارقة، مصممة للسرعة القصوى والأداء المذهل.|45000|18|5|rare|money|/public/cars/inferno-super-sports-car.png
سيارة بوجاتي|سيارة فاخرة عالية الأداء، رمز للفخامة والسرعة.|60000|20|10|rare|blackcoin|/public/cars/bugatti.png

# Epic Cars (Premium vehicles)
سيارة سينتينل|سيارة فاخرة مصممة للحماية، مجهزة بأحدث تقنيات الأمان.|75000|15|25|epic|blackcoin|/public/cars/sentinel.png
سيارة تيتان بيك أب|شاحنة بيك أب قوية، مثالية لنقل البضائع الثقيلة.|80000|10|30|epic|blackcoin|/public/cars/titan-pickup-truck.png
سيارة رينو هولر|شاحنة نقل كبيرة، مصممة لحمل الأوزان الثقيلة.|85000|8|35|epic|blackcoin|/public/cars/rhino-hauler-big-truck.png
سيارة جوجرنوت إس يو في|سيارة رياضية متعددة الاستخدامات، تجمع بين القوة والفخامة.|90000|18|20|epic|blackcoin|/public/cars/juggernaut-suv.png

# Legendary Cars (Ultimate vehicles)
سيارة وارلورد المدرعة|سيارة مدرعة فائقة القوة، مصممة للحماية القصوى والهجوم.|120000|25|40|legend|blackcoin|/public/cars/warlord-armored-truck.png

# Car Stats Explanation:
# - attackBonus: Bonus to attack/strength when car is active
# - defenseBonus: Bonus to defense when car is active  

# - cost: Price in money or blackcoins
# - rarity: common, uncommon, rare, epic, legend
# - currency: money or blackcoin
# - imageUrl: Path to car image in public folder

# Rarity Distribution:
# Common: 3 cars (basic vehicles)
# Uncommon: 4 cars (mid-tier vehicles)  
# Rare: 4 cars (high-performance vehicles)
# Epic: 4 cars (premium vehicles)
# Legendary: 1 car (ultimate vehicle)

# Currency Distribution:
# Money cars: 10 cars (common to rare)
# Blackcoin cars: 5 cars (rare to legendary) 
