# بيانات الكلاب - Dogs Seed Data
# Format: name|description|attackPower|price|currency|type|rarity|imageUrl

# الكلاب الأساسية (مال عادي) - Basic Dogs (Money)
جرو ضال|جرو ضال لطيف ووفيّ، مناسب للمبتدئين|10|5000|money|stray_puppy|common|/public/dogs/stray-puppy.png
كلب ألماني|كلب ذكي ومخلص، ممتاز للحراسة والتدريب|25|15000|money|german_shepherd|uncommon|/public/dogs/german-shepard.png
كلب مالينوي|كلب نشط وذكي، يستخدم في الشرطة والجيش|30|25000|money|malinois|uncommon|/public/dogs/malinois.png
كلب روتويلر|كلب قوي وشرس، ممتاز للحراسة|35|35000|money|rottweiler|rare|/public/dogs/rottweiler.png
كلب بيت بول|كلب قوي وعنيد، يخشاه الجميع|40|45000|money|pitbull|rare|/public/dogs/pitbull.png
كلب كان كورسو|كلب إيطالي قوي وشرس، حارس ممتاز|45|55000|money|cane_corso|epic|/public/dogs/cane-corso.png
كلب بلادهوند|كلب صيد ممتاز بحاسة شم قوية|50|65000|money|bloodhound|epic|/public/dogs/bloodhound.png

# الكلاب المتطورة (عملة سوداء) - Advanced Dogs (Blackcoin)
كلب ذئب|كلب بري شرس، يمتلك غريزة الصيد الطبيعية|60|85000|blackcoin|wolf|epic|/public/dogs/wolf.png
كلب سيبراني K9|كلب متطور مع تقنيات سيبرانية متقدمة|75|120000|blackcoin|cyber_k9|legend|/public/dogs/cyber-k9.png
كلب شبح أسطوري|كلب أسطوري خارق مع قدرات شبحية|100|200000|blackcoin|legendary_ghost_dog|legend|/public/dogs/legendary-ghost-dog.png

# Dog Stats Explanation:
# - attackPower: Attack bonus provided by the dog
# - price: Cost in money or blackcoins
# - currency: money or blackcoin
# - type: dog breed/category
# - rarity: common, uncommon, rare, epic, legend
# - imageUrl: Path to dog image in public folder

# Rarity Distribution:
# Common: 1 dog (stray puppy)
# Uncommon: 2 dogs (german shepherd, malinois)
# Rare: 2 dogs (rottweiler, pitbull)
# Epic: 3 dogs (cane corso, bloodhound, wolf)
# Legendary: 2 dogs (cyber k9, ghost dog)

# Currency Distribution:
# Money dogs: 7 dogs (common to epic)
# Blackcoin dogs: 3 dogs (epic to legendary) 
