# BloodContract Promotions Seed Data
# Format: title|titleEn|rank|requiredPoints|powerBonus|defenseBonus|description|isActive

# === BEGINNER RANKS (Ranks 1-3) ===

# Rank 1 - New Recruit
مبتدئ|Beginner|1|0|0|0|مبتدئ في عالم القتلة. بداية رحلتك في عالم الجريمة والقتل.|true

# Rank 2 - Street Thug
عضو الشارع|Street Thug|2|50|5|3|عضو الشارع. تعلمت أساسيات البقاء في عالم الجريمة.|true

# Rank 3 - Gang Member
عضو العصابة|Gang Member|3|150|10|8|عضو العصابة. انضمت لعصابة وبدأت تتعلم العمل الجماعي.|true

# === INTERMEDIATE RANKS (Ranks 4-6) ===

# Rank 4 - Hitman
قاتل محترف|Hitman|4|350|20|15|قاتل محترف. أصبحت قاتلاً محترفاً ومطلوباً في السوق السوداء.|true

# Rank 5 - Crime Boss
زعيم الجريمة|Crime Boss|5|700|35|25|زعيم الجريمة. أصبحت زعيماً للجريمة في منطقتك.|true

# Rank 6 - Syndicate Leader
قائد العصبة|Syndicate Leader|6|1200|50|40|قائد العصبة. أصبحت قائداً لعصبة كاملة من المجرمين.|true

# === ADVANCED RANKS (Ranks 7-8) ===

# Rank 7 - Crime Lord
إمبراطور الجريمة|Crime Lord|7|2000|75|60|إمبراطور الجريمة. أصبحت إمبراطوراً للجريمة في المدينة.|true

# Rank 8 - Master Assassin
القاتل الماجستير|Master Assassin|8|3500|100|80|القاتل الماجستير. أصبحت قاتلاً ماجستيراً ومخيفاً في جميع أنحاء المدينة.|true

# === EXPERT RANKS (Ranks 9-10) ===

# Rank 9 - Shadow King
ملك الظلال|Shadow King|9|6000|150|120|ملك الظلال. أصبحت ملك الظلال وحاكماً للعالم السفلي.|true

# Rank 10 - Blood Contract Legend
أسطورة عقد الدم|Blood Contract Legend|10|10000|200|150|أسطورة عقد الدم. أصبحت أسطورة في عالم القتلة والجريمة. لا أحد يجرؤ على تحديك.|true

# === SPECIAL RANKS (Optional for future expansion) ===

# Rank 11 - Phantom Emperor (Future expansion)
إمبراطور الشبح|Phantom Emperor|11|20000|300|250|إمبراطور الشبح. أصبحت إمبراطوراً للشبح وحاكماً للعالم السفلي بأكمله.|false

# Rank 12 - Blood God (Future expansion)
إله الدم|Blood God|12|50000|500|400|إله الدم. أصبحت إلهاً للدم وحاكماً مطلقاً للعالم السفلي.|false 
